rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance
17,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.025739287345992647,0.0032632682679179102,0.0006625109130795772,0.20302067090006193,0.0063335209617236,0.006801627473491731,4.0113487772592235e-05,0.0058976308139380195,0.11398042383405109,0.0024740833942050473,0.012991537017389922,5.251050570008882
18,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.007489303600763457,0.00027876369016836345,5.608966842440849e-05,0.2012086595299851,0.0028763266578910227,0.0014177765015793656,8.27325504289454e-06,0.005835373229615777,0.03846615602107961,0.0002807680532716344,0.0014796451590380392,5.26999116101905
19,1600,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.007148216227888909,0.00025260260763613167,5.109699524065435e-05,0.2022821368267837,0.0027544520713279827,0.001295297832123577,7.587006213243014e-06,0.005857344948076143,0.06603815946030686,0.0008283319959168415,0.004361038504904917,5.264843717738912
0,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.009355477882985535,0.0004360547363051427,8.75249664190315e-05,0.20072013701918195,0.0035344182396177715,0.002141431257136346,1.2492112292542786e-05,0.005833534114584657,0.02836163732861947,0.00015266510522499776,0.0008043824719601413,5.268934710224991
1,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.013125625129720018,0.0008555556349926375,0.00017228203504593764,0.2013685936945763,0.003659342720868786,0.002292724267765909,1.3390789148775371e-05,0.005840558037021918,0.05013905774758004,0.000477168562152836,0.0025139251118151663,5.268421499675332
2,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.006538769762455728,0.00021233910049610935,4.275551000640534e-05,0.20135486072283112,0.002223475600788792,0.0008436646280519363,4.94384374730308e-06,0.005859963287448309,0.03127989577043635,0.0001860026037896541,0.0009784318794093618,5.260312810006934
3,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.007211541378861938,0.00025743262268413026,5.200632905903794e-05,0.20201918667802135,0.00509443007359982,0.004423668622619646,2.5953217774798273e-05,0.005866899170993751,0.06385004608033211,0.0007750744992787483,0.004076828384460534,5.25991809594337
4,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.005993511017858151,0.00017836652515536695,3.592217432118705e-05,0.2013952690388338,0.003360251917804521,0.0019325947689248265,1.129129295110896e-05,0.0058425558904884765,0.04034182891967959,0.00030895210973802046,0.0016274631605846968,5.26768748064133
5,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.010000414776427225,0.0004979998279411997,0.00010000829570058401,0.2008199402679157,0.003387272091280374,0.0019648423503135825,1.147361222036692e-05,0.005839456900211749,0.04232124889762467,0.00034006928936264336,0.0017910881082546972,5.266832861066485
6,3200,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.006789937797541248,0.0002286191200591054,4.6103255294479284e-05,0.2016596655719789,0.0034510574894062013,0.0020354638265483076,1.1909797795186632e-05,0.00585114686876209,0.03619912913581483,0.0002488798818476137,0.0013103769501913978,5.265097927817752
