rep,setting,assumption,method,stage,target,time,time_s,time_t,rmse,relative_rmse,bias,mae,corr,mean_est,mean_true,sd_est,sd_true
52,power,static,RV,moment,diagonal_all,,,,0.05063856450311743,0.42608567440633177,-0.04947389234906144,0.04947389234906144,0.6526867466664086,0.06883717661493283,0.11831106896399428,0.013968108360358176,0.011262997541133852
52,power,static,RV,moment,diagonal_t1,1.0,,,0.04079723381550355,0.3867713960685542,-0.04032456916730215,0.04032456916730215,-0.5571675769058733,0.06514383330478814,0.10546840247209027,0.005109446279440761,0.0016633195330273643
52,power,static,RV,moment,diagonal_t2,2.0,,,0.042843533950152404,0.34331744259920544,-0.04272083466382538,0.04272083466382538,0.6479075596665722,0.08201156754612089,0.12473240220994626,0.0038408638462797224,0.003881078910397184
52,power,static,RV,moment,diagonal_t3,3.0,,,0.05164381951895565,0.39352141338371566,-0.05016609124884957,0.05016609124884957,-0.02303812379320898,0.08098764420704871,0.13115373545589823,0.011256269163676023,0.004620332036187123
52,power,static,RV,moment,diagonal_t4,4.0,,,0.05935056463493788,0.47559298191864585,-0.05888189564523505,0.05888189564523505,0.16064721611154473,0.06585050656471123,0.12473240220994626,0.007006105234257765,0.0038810789103971843
52,power,static,RV,moment,diagonal_t5,5.0,,,0.05596217266470978,0.5305400789289304,-0.05527607102009506,0.05527607102009506,-0.22140264352483416,0.050192331451995205,0.10546840247209024,0.00821600878569054,0.001663319533027366
53,power,static,RV,mu,all_periods,,,,0.5717830677988517,0.08559966703066735,0.004651567905604978,0.14203266150795094,0.987238170735609,5.637525730104223,5.632874162198619,3.5394762231890318,3.5902067613069644
53,power,static,RV,mu,period_1,1.0,,,0.4937589329804182,0.07424265146548796,0.016838947133078902,0.147014441831895,0.9902456861999626,5.646010947182153,5.629172000049073,3.503859879417662,3.5416152027599055
53,power,static,RV,mu,period_2,2.0,,,0.18528923762695357,0.032469258981480786,0.008019764532319435,0.1078760050306341,0.9870269097686566,5.599659627763958,5.59163986323164,1.1529234882122554,1.139695117500541
53,power,static,RV,mu,period_3,3.0,,,0.16875665325813147,0.02994446589320507,-0.004757805143634464,0.1003303617035896,0.9742473521171008,5.581028557543671,5.585786362687305,0.7311429887553628,0.7480563649215106
53,power,static,RV,mu,period_4,4.0,,,0.5078430357310323,0.07788437177215578,0.0036699052542830193,0.1499900341921782,0.9880864558895706,5.629361963807068,5.625692058552786,3.2355818731505743,3.2966911424964764
53,power,static,RV,mu,period_5,5.0,,,1.0344882989524806,0.12189772010119998,-0.0005129722480220025,0.20495246478145782,0.986243408072228,5.731567554224268,5.7320805264722905,6.165713635710377,6.258146227572376
53,power,static,RV,moment,diagonal_all,,,,0.054390672307454965,0.4576568573563935,-0.053061152665215855,0.053061152665215855,0.5334856517891317,0.0652499162987784,0.11831106896399428,0.013227237756705961,0.011262997541133852
53,power,static,RV,moment,diagonal_t1,1.0,,,0.04927003598423303,0.4670963891362669,-0.04873572823124432,0.04873572823124432,-0.8804265888101337,0.05673267424084594,0.10546840247209027,0.005728841474495726,0.0016633195330273643
53,power,static,RV,moment,diagonal_t2,2.0,,,0.06000641095962263,0.4808484653526414,-0.05866584930625912,0.05866584930625912,-0.6228614597857408,0.06606655290368715,0.12473240220994626,0.009824700809069695,0.003881078910397184
53,power,static,RV,moment,diagonal_t3,3.0,,,0.04872493617855878,0.37127977617883096,-0.04777627211934887,0.04777627211934887,0.6420596908361694,0.08337746333654937,0.13115373545589823,0.011854726409313478,0.004620332036187123
53,power,static,RV,moment,diagonal_t4,4.0,,,0.0642857075843469,0.5151396882716724,-0.06345471302096675,0.06345471302096675,-0.14525221728349166,0.061277689188979516,0.12473240220994626,0.00899694557101426,0.0038810789103971843
53,power,static,RV,moment,diagonal_t5,5.0,,,0.04750419731894457,0.4503556490926145,-0.04667320064826022,0.04667320064826022,-0.4028015665847925,0.05879520182383003,0.10546840247209024,0.008044560802033546,0.001663319533027366
54,power,static,RV,mu,all_periods,,,,0.5711053586042181,0.08549820952926288,-0.010396752463680646,0.1432817453189406,0.987272019059734,5.6224774097349375,5.632874162198619,3.549470137259681,3.5902067613069644
54,power,static,RV,mu,period_1,1.0,,,0.49239265421570555,0.07403721486200016,-0.004045819833061838,0.14819647716117518,0.9902962326439633,5.625126180216012,5.629172000049073,3.520878985841567,3.5416152027599055
54,power,static,RV,mu,period_2,2.0,,,0.17833791237539728,0.03125113977095382,-0.014239784455076154,0.1014146063141728,0.9879429021218812,5.577400078776564,5.59163986323164,1.1475966577350691,1.139695117500541
54,power,static,RV,mu,period_3,3.0,,,0.1732614338194347,0.030743801772828042,-0.01352074385671325,0.10495967389516804,0.9733927909508787,5.572265618830592,5.585786362687305,0.7494764576461012,0.7480563649215106
54,power,static,RV,mu,period_4,4.0,,,0.5054703652056698,0.07752049171416865,-0.01697709932648187,0.14884802438124733,0.9881900309486619,5.608714959226304,5.625692058552786,3.253029839919736,3.2966911424964764
54,power,static,RV,mu,period_5,5.0,,,1.0349067115764305,0.12194702326390632,-0.0032003148470701034,0.21298994484293962,0.986231868985274,5.728880211625221,5.7320805264722905,6.174150555966428,6.258146227572376
54,power,static,RV,moment,diagonal_all,,,,0.05516772817846033,0.4641952017604561,-0.05457930473430133,0.05457930473430133,0.7736442916790802,0.06373176422969293,0.11831106896399428,0.012407959325563099,0.011262997541133852
54,power,static,RV,moment,diagonal_t1,1.0,,,0.0528774134285464,0.5012955315730535,-0.05282093678122718,0.05282093678122718,0.491178473217971,0.052647465690863086,0.10546840247209027,0.0027843006345999594,0.0016633195330273643
54,power,static,RV,moment,diagonal_t2,2.0,,,0.06266000199895862,0.5021124462928915,-0.06255212073877901,0.06255212073877901,0.8292835821122435,0.06218028147116727,0.12473240220994626,0.006185686574142692,0.003881078910397184
54,power,static,RV,moment,diagonal_t3,3.0,,,0.053237330266575025,0.4056638266964094,-0.05260958460868095,0.05260958460868095,0.7964505032942497,0.07854415084721734,0.13115373545589823,0.011337468874247608,0.004620332036187123
54,power,static,RV,moment,diagonal_t4,4.0,,,0.054278460229942385,0.43494876440509445,-0.05406445228280579,0.05406445228280579,0.1889817392227282,0.07066794992714047,0.12473240220994626,0.003676482799540319,0.0038810789103971843
54,power,static,RV,moment,diagonal_t5,5.0,,,0.052103069790691715,0.49395449538407427,-0.050849429260013755,0.050849429260013755,-0.5962438712870698,0.0546189732120765,0.10546840247209024,0.010290203892138354,0.001663319533027366
55,power,static,RV,mu,all_periods,,,,0.571517075290422,0.08555984621148519,-0.0038074933108562846,0.14338270721807217,0.9872494008162326,5.629066668887762,5.632874162198619,3.540827126421889,3.5902067613069644
55,power,static,RV,mu,period_1,1.0,,,0.4955423168637556,0.07451080488861811,0.001421957022083399,0.14376251633987236,0.9901720548396453,5.630593957071157,5.629172000049073,3.4917387264009125,3.5416152027599055
55,power,static,RV,mu,period_2,2.0,,,0.17981882066606197,0.031510647529921575,-0.00465665745559287,0.10165468565164118,0.9874903184058719,5.586983205776047,5.59163986323164,1.121123122968541,1.139695117500541
55,power,static,RV,mu,period_3,3.0,,,0.17967231902942932,0.03188136008421679,-0.030019712235881565,0.11982925237625973,0.9718424051260109,5.555766650451424,5.585786362687305,0.7446367649382517,0.7480563649215106
55,power,static,RV,mu,period_4,4.0,,,0.5067895993196133,0.07772281352023021,-0.004563060162276141,0.15243786417368238,0.9881403441944024,5.621128998390508,5.625692058552786,3.2339729653290847,3.2966911424964764
55,power,static,RV,mu,period_5,5.0,,,1.032542493300014,0.12166843836545112,0.01878000627738575,0.19922921754890516,0.9863004358496135,5.750860532749676,5.7320805264722905,6.180859103593852,6.258146227572376
55,power,static,RV,moment,diagonal_all,,,,0.05209801316685598,0.43836584415940955,-0.05105487458342968,0.05105487458342968,0.5866371877117817,0.06725619438056459,0.11831106896399428,0.011547330354366192,0.011262997541133852
55,power,static,RV,moment,diagonal_t1,1.0,,,0.04287552262607149,0.40647426779589063,-0.04179913191387141,0.04179913191387141,-0.5817880120598015,0.06366927055821885,0.10546840247209027,0.00848284675178161,0.0016633195330273643
55,power,static,RV,moment,diagonal_t2,2.0,,,0.056023882169117065,0.44893532763097566,-0.05576425527176968,0.05576425527176968,0.3905660518403848,0.06896814693817657,0.12473240220994626,0.005547955682238777,0.003881078910397184
55,power,static,RV,moment,diagonal_t3,3.0,,,0.04934091964127871,0.37597351659401396,-0.048760131572133866,0.048760131572133866,0.7357839837245619,0.0823936038837644,0.13115373545589823,0.010268736792818783,0.004620332036187123
55,power,static,RV,moment,diagonal_t4,4.0,,,0.061109638314940026,0.4896889404328188,-0.06051127641526169,0.06051127641526169,-0.47391331145730253,0.06422112579468457,0.12473240220994626,0.005976941604883377,0.0038810789103971843
55,power,static,RV,moment,diagonal_t5,5.0,,,0.04924545481444662,0.4668633514406652,-0.048439577744111756,0.048439577744111756,-0.44733577940426056,0.05702882472797849,0.10546840247209024,0.008002887114262988,0.001663319533027366
56,power,static,RV,mu,all_periods,,,,0.5710083010580967,0.08548367937945836,-0.007874017876726992,0.1380509580215189,0.9872835673007002,5.625000144321892,5.632874162198619,3.5286224683637095,3.5902067613069644
56,power,static,RV,mu,period_1,1.0,,,0.4938163151546355,0.07425127957219387,-0.013374905288573746,0.15180627176952474,0.9902410499571871,5.6157970947605,5.629172000049073,3.4995387394434574,3.5416152027599055
56,power,static,RV,mu,period_2,2.0,,,0.18107543333875828,0.03173085072591795,-0.026021480762124575,0.10466863648346834,0.9878967311785276,5.5656183824695145,5.59163986323164,1.1552179484128342,1.139695117500541
56,power,static,RV,mu,period_3,3.0,,,0.16194357925668573,0.028735542522627715,0.0016708360682533173,0.08529393253165739,0.9768021163023543,5.587457198755558,5.585786362687305,0.7070062204578584,0.7480563649215106
56,power,static,RV,mu,period_4,4.0,,,0.5084748182974674,0.07798126389200649,-0.0009606721181780032,0.1446157434343761,0.9881026427716805,5.624731386434607,5.625692058552786,3.219011262256492,3.2966911424964764
56,power,static,RV,mu,period_5,5.0,,,1.0338458153948489,0.12182201380180817,-0.000683867283011935,0.2038702058885679,0.9862677569948446,5.731396659189278,5.7320805264722905,6.14787367864489,6.258146227572376
56,power,static,RV,moment,diagonal_all,,,,0.051491471925759306,0.4332622529280266,-0.050876849842234666,0.050876849842234666,0.817313012570994,0.0674342191217596,0.11831106896399428,0.013766315914562231,0.011262997541133852
56,power,static,RV,moment,diagonal_t1,1.0,,,0.05148583205225922,0.48810287556888443,-0.05118430098374525,0.05118430098374525,-0.041928753007852426,0.05428410148834503,0.10546840247209027,0.0052402936288519185,0.0016633195330273643
56,power,static,RV,moment,diagonal_t2,2.0,,,0.05067648790043362,0.40608513401646135,-0.05037903311245033,0.05037903311245033,0.21761465537918595,0.07435336909749594,0.12473240220994626,0.004808162606102667,0.003881078910397184
56,power,static,RV,moment,diagonal_t3,3.0,,,0.051976284792803897,0.3960547698566571,-0.051325184627193265,0.051325184627193265,0.5468979770936382,0.079828550828705,0.13115373545589823,0.009758524177464976,0.004620332036187123
56,power,static,RV,moment,diagonal_t4,4.0,,,0.04876059031218438,0.3907325008502756,-0.04843085522052756,0.04843085522052756,-0.14501867327033785,0.07630154698941871,0.12473240220994626,0.0035966702235769045,0.0038810789103971843
56,power,static,RV,moment,diagonal_t5,5.0,,,0.054395144350527364,0.515684127383388,-0.0530648752672569,0.0530648752672569,-0.8702593132560827,0.05240352720483335,0.10546840247209024,0.010480574501415594,0.001663319533027366
57,power,static,RV,mu,all_periods,,,,0.5718455493678997,0.0856090209304368,0.0030365264354950683,0.1439454141648854,0.9872349748239592,5.635910688634113,5.632874162198619,3.539213108841822,3.5902067613069644
57,power,static,RV,mu,period_1,1.0,,,0.4949453373704098,0.07442104177245738,-0.00551210006400636,0.15289454488969847,0.9901983341704048,5.623659899985067,5.629172000049073,3.5230324374259863,3.5416152027599055
57,power,static,RV,mu,period_2,2.0,,,0.17982214775706087,0.031511230554498074,0.004227715615954306,0.10696228957140214,0.9880936255487687,5.595867578847594,5.59163986323164,1.1657710177129461,1.139695117500541
57,power,static,RV,mu,period_3,3.0,,,0.17098603302261065,0.03034005080812001,0.005850819503984171,0.09977338258419659,0.973558355525095,5.591637182191289,5.585786362687305,0.7276745286879456,0.7480563649215106
57,power,static,RV,mu,period_4,4.0,,,0.5100043399489967,0.07821583604237534,0.023225997536192013,0.15794866134744906,0.988000713364757,5.648918056088978,5.625692058552786,3.239549776972427,3.2966911424964764
57,power,static,RV,mu,period_5,5.0,,,1.0336291015616206,0.12179647758045925,-0.012609800414648752,0.2021481924316807,0.9862742669158416,5.719470726057642,5.7320805264722905,6.150147104225355,6.258146227572376
57,power,static,RV,moment,diagonal_all,,,,0.05142774008378255,0.4327259971092395,-0.05086772322226255,0.05086772322226255,0.7781858126198339,0.06744334574173169,0.11831106896399428,0.01145768142148659,0.011262997541133852
57,power,static,RV,moment,diagonal_t1,1.0,,,0.04702720764963273,0.44583362779224117,-0.04649497571193047,0.04649497571193047,-0.3964114913291209,0.05897342676015981,0.10546840247209027,0.006228573605764083,0.0016633195330273643
57,power,static,RV,moment,diagonal_t2,2.0,,,0.05303313123486334,0.4249695884042861,-0.052822550178016674,0.052822550178016674,0.7508250145501933,0.0719098520319296,0.12473240220994626,0.006878842603531741,0.003881078910397184
57,power,static,RV,moment,diagonal_t3,3.0,,,0.05098771835046261,0.3885219795394912,-0.05046596805806611,0.05046596805806611,-0.036222266309749326,0.08068776739783216,0.13115373545589823,0.005455276732238769,0.004620332036187123
57,power,static,RV,moment,diagonal_t4,4.0,,,0.05389224581244067,0.4318539182547768,-0.05353476447636898,0.05353476447636898,-0.30955765284587494,0.07119763773357729,0.12473240220994626,0.003776913578196194,0.0038810789103971843
57,power,static,RV,moment,diagonal_t5,5.0,,,0.05192176231056615,0.4922356399459101,-0.051020357686930605,0.051020357686930605,-0.47697150431642327,0.054448044785159654,0.10546840247209024,0.008727950867246653,0.001663319533027366
58,power,static,RV,mu,all_periods,,,,0.5720966807256037,0.0856466169381031,-0.015037619850888575,0.14335015533560785,0.987231187386213,5.61783654234773,5.632874162198619,3.543556256890943,3.5902067613069644
58,power,static,RV,mu,period_1,1.0,,,0.498020794421532,0.07488347408647204,0.00374544987679257,0.15332797966821574,0.9900642570909362,5.632917449925866,5.629172000049073,3.5067623664787946,3.5416152027599055
58,power,static,RV,mu,period_2,2.0,,,0.193326543089803,0.03387768051706903,-0.018859636177595774,0.12192183150654214,0.9856471665915143,5.572780227054043,5.59163986323164,1.1243921309895586,1.139695117500541
58,power,static,RV,mu,period_3,3.0,,,0.17335573113113792,0.030760534047257534,-0.015982512115893823,0.10441050807178616,0.973067711859074,5.569803850571412,5.585786362687305,0.7356990493875935,0.7480563649215106
