rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment
13,power,static,RV,,1,0.5395907678339459,0.399140389582042,-0.0008596104179580237,-0.4,0.3559337474729348,0.4,0.3629624633850743,0.023093963471002548,0.5,0.003842552961455216
13,power,static,RV,,2,0.6376679476301794,0.4275505296303546,0.027550529630354627,-0.4,0.46245765764793634,0.4,0.47280894254543887,0.023093963471002548,0.476,-0.05738767154338911
13,power,static,RV,,3,0.5610134239198122,0.4067714551826791,0.006771455182679133,-0.4,0.3820980382403976,0.4,0.38636058241069254,0.023093963471002548,0.49,-0.01576737259067068
13,power,static,RV,,4,0.5563020958403772,0.3968452116182857,-0.003154788381714301,-0.4,0.3702167283928582,0.4,0.3896437924647447,0.023093963471002548,0.496,0.009266931258616686
13,power,static,RV,,5,0.6119977845148432,0.411192288580567,0.011192288580567004,-0.4,0.45209859870521657,0.4,0.4532115560495777,0.023093963471002548,0.488,-0.023348072336238423
14,power,static,RV,,1,0.5402465718718712,0.40026761119936,0.0002676111993599362,-0.4,0.3533507787276941,0.4,0.36157009050659944,0.023093963471002548,0.502,-0.002070924879223019
14,power,static,RV,,2,0.6791639840735019,0.3843980724136126,-0.015601927586387386,-0.4,0.5427744801238339,0.4,0.5591809775076907,0.023093963471002548,0.514,0.02720806599058922
14,power,static,RV,,3,0.5780907937217376,0.3971769676331229,-0.0028230323668770848,-0.4,0.4108402595970731,0.4,0.4185966397528828,0.023093963471002548,0.506,0.0046967250948404355
14,power,static,RV,,4,0.574605810827286,0.3898126097706792,-0.0101873902293208,-0.4,0.3733778526095458,0.4,0.4206744117486053,0.023093963471002548,0.438,0.022041113757169304
14,power,static,RV,,5,0.6470155861192965,0.3796155321501507,-0.020384467849849302,-0.4,0.5135985886336357,0.4,0.5228070251862796,0.023093963471002548,0.52,0.03732017865764705
15,power,static,RV,,1,0.5457925636033064,0.3829884116847254,-0.017011588315274617,-0.4,0.3853767723473444,0.4,0.3883611859451906,0.023093963471002548,0.522,0.044165019967584145
15,power,static,RV,,2,0.5683140781924272,0.3662993194411545,-0.03370068055884547,-0.4,0.4283805424555076,0.4,0.4345673775008114,0.023093963471002548,0.538,0.0788396322957352
15,power,static,RV,,3,0.5513374406938679,0.37604080768762926,-0.023959192312370797,-0.4,0.39449825540951655,0.4,0.4033427457651035,0.023093963471002548,0.53,0.06121345801616146
15,power,static,RV,,4,0.5703682701340387,0.352030964485201,-0.04796903551479905,-0.4,0.42732600413300154,0.4,0.44840580919756073,0.023093963471002548,0.556,0.10676572069787135
15,power,static,RV,,5,0.5843191395069512,0.36562487582508835,-0.034375124174911655,-0.4,0.44995264849806565,0.4,0.4556760133954727,0.023093963471002548,0.536,0.07626397187702044
16,power,static,RV,,1,0.5203490752652057,0.3835704992258051,-0.016429500774194885,-0.4,0.34067970526137925,0.4,0.34978812819996674,0.023093963471002548,0.524,0.044161049555147214
