rep,setting,assumption,hypothesis,method,lag,source_t,pvalue,reject,stat,statistic
23,power,static,H0,TWFE,,1,0.8937910541864579,0,0.029216006327354563,likelihood
23,power,static,H0,RV,,2,0.2026578073089701,0,1.5014709620519444,likelihood
23,power,static,H0,TWFE,,2,0.8937910541864579,0,0.029216006327354563,likelihood
23,power,static,H0,RV,,3,0.1461794019933555,0,1.0735040236589533,likelihood
23,power,static,H0,TWFE,,3,0.8937910541864579,0,0.029216006327354563,likelihood
23,power,static,H0,RV,,4,0.04983388704318937,1,0.41892738023279125,likelihood
23,power,static,H0,TWFE,,4,0.8937910541864579,0,0.029216006327354563,likelihood
23,power,static,H0,RV,,5,0.09302325581395349,1,2.714478563643923,likelihood
23,power,static,H0,TWFE,,5,0.8937910541864579,0,0.029216006327354563,likelihood
24,power,static,H0,RV,,1,0.013289036544850499,1,0.5581458298688359,likelihood
24,power,static,H0,TWFE,,1,0.017860346580266886,1,-0.7850469227194066,likelihood
24,power,static,H0,RV,,2,0.016611295681063124,1,2.1432527508521964,likelihood
24,power,static,H0,TWFE,,2,0.017860346580266886,1,-0.7850469227194066,likelihood
24,power,static,H0,RV,,3,0.036544850498338874,1,-0.16277219180473881,likelihood
24,power,static,H0,TWFE,,3,0.017860346580266886,1,-0.7850469227194066,likelihood
24,power,static,H0,RV,,4,0.0033222591362126247,1,1.1535749110046443,likelihood
24,power,static,H0,TWFE,,4,0.017860346580266886,1,-0.7850469227194066,likelihood
24,power,static,H0,RV,,5,0.019933554817275746,1,0.35530019265378826,likelihood
24,power,static,H0,TWFE,,5,0.017860346580266886,1,-0.7850469227194066,likelihood
25,power,static,H0,RV,,1,0.5282392026578073,0,-0.2794607378789138,likelihood
25,power,static,H0,TWFE,,1,0.16672099422726586,0,-0.45604376116228157,likelihood
25,power,static,H0,RV,,2,0.5946843853820598,0,0.12584201094912312,likelihood
25,power,static,H0,TWFE,,2,0.16672099422726586,0,-0.45604376116228157,likelihood
25,power,static,H0,RV,,3,0.4750830564784053,0,0.12680164774954675,likelihood
25,power,static,H0,TWFE,,3,0.16672099422726586,0,-0.45604376116228157,likelihood
25,power,static,H0,RV,,4,0.4850498338870432,0,-0.09506640736428063,likelihood
25,power,static,H0,TWFE,,4,0.16672099422726586,0,-0.45604376116228157,likelihood
25,power,static,H0,RV,,5,0.5647840531561462,0,-0.6950675010164407,likelihood
25,power,static,H0,TWFE,,5,0.16672099422726586,0,-0.45604376116228157,likelihood
26,power,static,H0,RV,,1,0.016611295681063124,1,0.07357800363835694,likelihood
26,power,static,H0,TWFE,,1,0.07483312434583295,1,-0.5260700525066334,likelihood
26,power,static,H0,RV,,2,0.2956810631229236,0,-0.5572543947566339,likelihood
26,power,static,H0,TWFE,,2,0.07483312434583295,1,-0.5260700525066334,likelihood
26,power,static,H0,RV,,3,0.006644518272425249,1,1.4964893322056096,likelihood
26,power,static,H0,TWFE,,3,0.07483312434583295,1,-0.5260700525066334,likelihood
26,power,static,H0,RV,,4,0.0033222591362126247,1,1.4068904605959438,likelihood
26,power,static,H0,TWFE,,4,0.07483312434583295,1,-0.5260700525066334,likelihood
26,power,static,H0,RV,,5,0.04318936877076412,1,2.774595737667527,likelihood
26,power,static,H0,TWFE,,5,0.07483312434583295,1,-0.5260700525066334,likelihood
27,power,static,H0,RV,,1,0.07641196013289037,1,0.6355682956017181,likelihood
27,power,static,H0,TWFE,,1,0.012314641148650215,1,-0.7564833356400602,likelihood
27,power,static,H0,RV,,2,0.1362126245847176,0,-0.03838745259763128,likelihood
27,power,static,H0,TWFE,,2,0.012314641148650215,1,-0.7564833356400602,likelihood
27,power,static,H0,RV,,3,0.04983388704318937,1,0.9848346199249247,likelihood
27,power,static,H0,TWFE,,3,0.012314641148650215,1,-0.7564833356400602,likelihood
27,power,static,H0,RV,,4,0.13953488372093023,0,0.42037009624695915,likelihood
27,power,static,H0,TWFE,,4,0.012314641148650215,1,-0.7564833356400602,likelihood
27,power,static,H0,RV,,5,0.1461794019933555,0,-0.4381964474190642,likelihood
27,power,static,H0,TWFE,,5,0.012314641148650215,1,-0.7564833356400602,likelihood
28,power,static,H0,RV,,1,0.7043189368770764,0,-0.9863520852313743,likelihood
28,power,static,H0,TWFE,,1,0.9955402657022794,0,-0.0015291440554310225,likelihood
28,power,static,H0,RV,,2,0.5681063122923588,0,1.6062701980661789,likelihood
28,power,static,H0,TWFE,,2,0.9955402657022794,0,-0.0015291440554310225,likelihood
28,power,static,H0,RV,,3,0.5514950166112956,0,-0.42245730782101465,likelihood
28,power,static,H0,TWFE,,3,0.9955402657022794,0,-0.0015291440554310225,likelihood
28,power,static,H0,RV,,4,0.21926910299003322,0,0.2834189943961472,likelihood
28,power,static,H0,TWFE,,4,0.9955402657022794,0,-0.0015291440554310225,likelihood
28,power,static,H0,RV,,5,0.584717607973422,0,0.5267135026265242,likelihood
