rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
9,DM,,4,0.2520122299013034,0.24550898203592814,0,lagged,power,500,0.1
9,cDM,,4,-0.019635364490786265,0.5668662674650699,0,lagged,power,500,0.1
9,SS,0.5933527694218382,4,2.3835765049653963,0.0658682634730539,1,lagged,power,500,0.1
9,RC,1.4805780250172647,5,-2.8920621603517747,0.6047904191616766,0,lagged,power,500,0.1
9,Oracle,,5,10.30860881820622,0.001996007984031936,1,lagged,power,500,0.1
9,DM,,5,0.4827088001491469,0.1656686626746507,0,lagged,power,500,0.1
9,cDM,,5,0.03945723421530594,0.3932135728542914,0,lagged,power,500,0.1
9,SS,0.8951892717091233,5,6.8303519249815805,0.001996007984031936,1,lagged,power,500,0.1
10,RC,0.3246149083721397,1,-0.18122909630964582,0.5449101796407185,0,lagged,power,500,0.1
10,Oracle,,1,0.06471451420613586,0.029940119760479042,1,lagged,power,500,0.1
10,DM,,1,0.2272539781316075,0.2934131736526946,0,lagged,power,500,0.1
10,cDM,,1,-0.11506681799408587,0.8622754491017964,0,lagged,power,500,0.1
10,SS,0.8312583511322985,1,-0.20075693473715014,0.39520958083832336,0,lagged,power,500,0.1
10,RC,0.23282361714645583,2,-0.16324670159945595,0.2155688622754491,0,lagged,power,500,0.1
10,Oracle,,2,0.11193501290489642,0.001996007984031936,1,lagged,power,500,0.1
10,DM,,2,-0.012522845036633567,0.5229540918163673,0,lagged,power,500,0.1
10,cDM,,2,0.046270281869991985,0.3473053892215569,0,lagged,power,500,0.1
10,SS,0.6507577145150268,2,0.503800374116231,0.03592814371257485,1,lagged,power,500,0.1
10,RC,0.2644179089712139,3,4.6521263489506035,0.005988023952095809,1,lagged,power,500,0.1
10,Oracle,,3,6.751761037034932,0.005988023952095809,1,lagged,power,500,0.1
10,DM,,3,0.549859493549439,0.10578842315369262,0,lagged,power,500,0.1
10,cDM,,3,0.008504768907456118,0.4930139720558882,0,lagged,power,500,0.1
10,SS,0.724217755980084,3,2.434528911005459,0.08383233532934131,1,lagged,power,500,0.1
10,RC,1.2156310507737333,4,5.633261513332437,0.0658682634730539,1,lagged,power,500,0.1
10,Oracle,,4,13.35815926832035,0.001996007984031936,1,lagged,power,500,0.1
10,DM,,4,0.11413052080082123,0.405189620758483,0,lagged,power,500,0.1
10,cDM,,4,0.23263297057335527,0.021956087824351298,1,lagged,power,500,0.1
10,SS,0.7908792873709053,4,4.142546202962175,0.00998003992015968,1,lagged,power,500,0.1
10,RC,0.8779734323014635,5,2.934634875502737,0.001996007984031936,1,lagged,power,500,0.1
10,Oracle,,5,2.741543534783694,0.001996007984031936,1,lagged,power,500,0.1
10,DM,,5,0.009513658597463543,0.48502994011976047,0,lagged,power,500,0.1
10,cDM,,5,0.11151467691640986,0.18762475049900199,0,lagged,power,500,0.1
10,SS,0.9500233282390975,5,1.7782334831358046,0.7465069860279441,0,lagged,power,500,0.1
11,RC,0.6216923819505638,1,0.7783055367756397,0.5349301397205589,0,lagged,power,500,0.1
