rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance,mu_config,moment_config
15,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.0634029466389018,0.019945081643885778,0.004019933642495429,0.20155012219404733,0.029574436638253116,0.1496273065624812,0.0008746473024700483,0.0058455058943723895,1.20990528505713,0.27793067480234984,1.463870798809175,5.267035744975633,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
16,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.044673659897353,0.00982636417658586,0.0019957358886243657,0.20310013477617497,0.01761867218069078,0.05254192091852924,0.0003104176094106472,0.005907998869930477,0.6353068485584287,0.07692084806961046,0.4036147918252422,5.247144330233932,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
17,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05502117320184311,0.01509742717486268,0.0030273295005072186,0.20051956306487392,0.022278545781438903,0.085022715413042,0.0004963336021356692,0.005837658791823701,0.5820507182062646,0.06432839476812545,0.33878303856442854,5.266461875592994,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
18,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.045489572207423515,0.010311645988983835,0.002069301179614398,0.20067612695636364,0.018544172948835994,0.05896331320185051,0.0003438863503563406,0.005832208735949188,0.34060861289129524,0.02201690500774999,0.11601422717573222,5.269324963472159,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
19,400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.05162182473935562,0.013116565381947585,0.002664812789420748,0.2031639161489903,0.020271990305366125,0.06951625782613463,0.00041095359094085813,0.005911618429874114,0.29378785626878406,0.01645304023164532,0.08631130449100771,5.245918278677697,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
0,800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.04879439060926089,0.01186499901689662,0.0023808925549291277,0.20066521299652565,0.014138464088076473,0.034216819726230155,0.0001998961667698281,0.005842044011372289,0.23578908148629543,0.010559281898792865,0.05559649094815086,5.265177261202454,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
1,800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03421460256517336,0.005804830192381765,0.0011706390286927678,0.20166636919527975,0.018652073618515824,0.05975048828882473,0.0003478998502705339,0.005822544053344622,0.4742010968154716,0.04261181923412569,0.22486668022099632,5.27709645498805,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
2,800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03638078789103097,0.00656019413966331,0.0013235617275721855,0.20175648759689221,0.014309941810215011,0.03496103420857727,0.00020477443461173968,0.0058572190224710444,0.18297025324648025,0.006361104435316262,0.033478113573081114,5.2629404081488955,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3,800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03478117381997797,0.006048557115851919,0.0012097300522955212,0.2000030799287798,0.01250304631916579,0.026875737172666336,0.0001563261672592052,0.005816628070696976,0.16837494182541368,0.0053761109768313345,0.028350121034711444,5.273351156047179,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
4,800,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.03538762768516366,0.006204010778355808,0.0012522841931837613,0.20185074428830097,0.016974488893438992,0.04928819767082739,0.0002881332731934837,0.005845887794838632,0.24018041354440417,0.010950389753059595,0.057686631050361,5.267997975528045,"{'n_estimators': 40, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}","{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
