N,assumption,option,experiment,dgp_name,rmse,nmse,mse,variance,moment_config
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009677115383176664,0.01598871634578254,9.364656213931443e-05,0.005857040685071398,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.008058364102234811,0.011091590211739633,6.493723200418665e-05,0.005854636780166595,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.009333545019961241,0.014865997316816213,8.711506263964329e-05,0.005860021415522517,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.008239047329216214,0.011598877567853896,6.788190089306484e-05,0.005852454299646928,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.010382240138433066,0.01832416639115558,0.00010779091029209064,0.005882445508905522,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.008563050737272806,0.012590800421153266,7.332583792910836e-05,0.005823763023510146,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.00998909242200388,0.017068590761113396,9.978196741533533e-05,0.005845940582433091,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.008639061294806235,0.01273466101422387,7.463338005541917e-05,0.005860649134834296,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.008014338282183264,0.011012784921966123,6.422961810126818e-05,0.005832277535281349,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
3200,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.008673653779349698,0.012879880734341124,7.52322698840273e-05,0.0058410688294215675,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
6400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.006683927034398461,0.007633884048601382,4.467488060116261e-05,0.005852182233413353,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
6400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.00690064955386774,0.008139108301342736,4.7618964265295036e-05,0.0058506365196589385,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
6400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.006845077755407833,0.007996375561707555,4.6855089477579146e-05,0.005859540877739071,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
6400,lagged,nonparametric,raw,lagged_shared_easy_linear_last_lag,0.006213720466623414,0.006601552702994723,3.86103220373347e-05,0.005848672846286532,"{'n_estimators': 60, 'learning_rate': 0.1, 'max_depth': 1, 'subsample': 1.0, 'min_samples_leaf': 50}"
