rep,setting,assumption,hypothesis,method,lag,source_t,pvalue,reject,stat,statistic
9,power,lagged,H0l,TWFE,1,,0.19068294603330257,0,-0.9546222229951657,likelihood
9,power,lagged,H0l,RC,2,,0.0033222591362126247,1,19.82903909693198,likelihood
9,power,lagged,H0l,TWFE,2,,0.2561557354756853,0,-1.2565287062375283,likelihood
9,power,lagged,H0l,RC,3,,0.2159468438538206,0,-169177.46168393648,likelihood
9,power,lagged,H0l,TWFE,3,,0.1743258252866345,0,-2.028567034977839,likelihood
9,power,lagged,H0l,RC,4,,0.7308970099667774,0,7378.914090609687,likelihood
9,power,lagged,H0l,TWFE,4,,0.18158317718148423,0,-2.4985098920993822,likelihood
10,power,lagged,H0l,RC,0,,0.07641196013289037,1,5.907035637703482,likelihood
10,power,lagged,H0l,TWFE,0,,0.39714261132682516,0,0.1791546600339995,likelihood
10,power,lagged,H0l,RC,1,,0.0033222591362126247,1,15.318164928315472,likelihood
10,power,lagged,H0l,TWFE,1,,0.6126965779435503,0,0.20326689773789086,likelihood
10,power,lagged,H0l,RC,2,,0.006644518272425249,1,17.27423771830126,likelihood
10,power,lagged,H0l,TWFE,2,,0.5579748873634233,0,0.38291611844423623,likelihood
10,power,lagged,H0l,RC,3,,0.009966777408637873,1,33.945835735913555,likelihood
10,power,lagged,H0l,TWFE,3,,0.37000261072509266,0,0.7885095226013568,likelihood
10,power,lagged,H0l,RC,4,,0.026578073089700997,1,21.490075332951967,likelihood
10,power,lagged,H0l,TWFE,4,,0.8700190615497781,0,-0.16353490185350106,likelihood
11,power,lagged,H0l,RC,0,,0.12292358803986711,0,9.86418592782638,likelihood
11,power,lagged,H0l,TWFE,0,,0.17976815490896075,0,-0.3554448204357006,likelihood
11,power,lagged,H0l,RC,1,,0.12956810631229235,0,7.493989738285505,likelihood
11,power,lagged,H0l,TWFE,1,,0.49599461839416426,0,-0.36375766968271755,likelihood
11,power,lagged,H0l,RC,2,,0.12292358803986711,0,11.683641836111471,likelihood
11,power,lagged,H0l,TWFE,2,,0.5773870499885876,0,-0.46340628546492846,likelihood
11,power,lagged,H0l,RC,3,,0.0033222591362126247,1,37.78851016147303,likelihood
11,power,lagged,H0l,TWFE,3,,0.7539655661965884,0,-0.35237551037475956,likelihood
11,power,lagged,H0l,RC,4,,0.0033222591362126247,1,80.33665053766534,likelihood
