rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment,n_time_comparisons,treated_count_min,control_count_min,eligible_count_min,treated_count_mean,control_count_mean,eligible_count_mean
27,power,lagged,RC,2,,1.835080491813659,1.2556057371138978,-0.14439426288610235,-1.4,1.0501394083187958,1.4,1.1666635643212173,0.8082887214850891,0.552,0.165166657130378,3,50,50,150,83.33333333333333,150.0,233.33333333333334
27,power,lagged,RC,3,,2.4338399025074238,1.6092091195084708,-0.1907908804915292,-1.8,1.4672843790571204,1.8026311999999998,1.58138628025372,1.096963264872621,0.55,0.1573940491325687,2,50,50,150,75.0,100.0,175.0
27,power,lagged,RC,4,,13.227118288772092,1.2035563102669347,-0.9964436897330656,-2.2,2.9491038441251614,2.2083328,13.011061347619256,1.3856378082601528,0.55,0.03071155968156395,1,50,50,100,50.0,50.0,100.0
28,power,lagged,RC,0,,0.6798335318975349,0.5452980551315774,-0.05470194486842255,-0.6,0.31499652980602066,0.6,0.3495227351921455,0.2309396347100255,0.562,0.1677708097578124,5,50,50,150,90.0,250.0,340.0
28,power,lagged,RC,1,,1.3043252627398538,0.8965929205407769,-0.10340707945922312,-1.0,0.7019912695293239,1.0,0.8438383217503773,0.5196141780975573,0.562,0.15212376070222156,4,50,50,150,87.5,200.0,287.5
28,power,lagged,RC,2,,1.848444922375886,1.2032387708885461,-0.19676122911145358,-1.4,1.116139259064014,1.4,1.2149640999737965,0.8082887214850891,0.568,0.178781551256697,3,50,50,150,83.33333333333333,150.0,233.33333333333334
28,power,lagged,RC,3,,2.364296697648686,1.57623443817807,-0.2237655618219303,-1.8,1.358193468150788,1.8026311999999998,1.4693107823625922,1.096963264872621,0.582,0.16955127475368617,2,50,50,150,75.0,100.0,175.0
28,power,lagged,RC,4,,19.59468529818264,3.3358090977506016,1.1358090977506017,-2.2,3.2891099746952257,2.2083328,19.382158883647037,1.3856378082601528,0.578,-0.002313335303197959,1,50,50,100,50.0,50.0,100.0
29,power,lagged,RC,0,,0.6762973700262733,0.5345116721979637,-0.06548832780203638,-0.6,0.3079955504270665,0.6,0.360468820867546,0.2309396347100255,0.586,0.1914335767763093,5,50,50,150,90.0,250.0,340.0
29,power,lagged,RC,1,,1.2319122248591394,0.8348578979789286,-0.16514210202107146,-1.0,0.7171034401389595,1.0,0.8246304197874857,0.5196141780975573,0.586,0.2425071370000882,4,50,50,150,87.5,200.0,287.5
29,power,lagged,RC,2,,1.880258461991855,1.1497901425467305,-0.25020985745326935,-1.4,1.297168798390662,1.4,1.3526668140516585,0.8082887214850891,0.586,0.21815720524574003,3,50,50,150,83.33333333333333,150.0,233.33333333333334
29,power,lagged,RC,3,,2.287810070547391,1.4914372523108637,-0.30856274768913655,-1.8,1.3949111414634572,1.8026311999999998,1.511328985514224,1.096963264872621,0.592,0.24428557461848882,2,50,50,150,75.0,100.0,175.0
