rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
5,RV,0.6171917991780269,5,8.71976155684268,0.007984031936127744,1,static,power,500,0.1
5,Oracle,,5,10.183513298232196,0.001996007984031936,1,static,power,500,0.1
5,DM,,5,0.5925501102655674,0.13572854291417166,0,static,power,500,0.1
5,cDM,,5,0.27647513566816717,0.041916167664670656,1,static,power,500,0.1
5,SS,1.215464381116084,5,2.678216652043987,0.013972055888223553,1,static,power,500,0.1
6,RV,0.9119063665880053,1,1.3764390642332696,0.9481037924151696,0,static,power,500,0.1
6,Oracle,,1,0.120918862702375,0.24550898203592814,0,static,power,500,0.1
6,DM,,1,0.6833655052882464,0.08982035928143713,1,static,power,500,0.1
6,cDM,,1,-0.022186251989514395,0.5149700598802395,0,static,power,500,0.1
6,SS,0.9847938836996973,1,0.7526254222071193,0.05389221556886228,1,static,power,500,0.1
6,RV,1.3131154420838127,2,3.048001303821249,0.32335329341317365,0,static,power,500,0.1
6,Oracle,,2,2.393486696058569,0.10379241516966067,0,static,power,500,0.1
6,DM,,2,-0.125384479742434,0.6067864271457086,0,static,power,500,0.1
6,cDM,,2,-0.1951940010123937,0.8822355289421158,0,static,power,500,0.1
6,SS,0.8610029198494759,2,-0.33802412662574444,0.8602794411177644,0,static,power,500,0.1
6,RV,0.9808041251880473,3,0.02676927481173814,0.48303393213572854,0,static,power,500,0.1
6,Oracle,,3,5.57733840038511,0.05788423153692615,1,static,power,500,0.1
6,DM,,3,0.669355693457899,0.1536926147704591,0,static,power,500,0.1
6,cDM,,3,0.26982051015748454,0.08982035928143713,1,static,power,500,0.1
6,SS,0.8419919077587595,3,0.14234496067618846,0.5788423153692615,0,static,power,500,0.1
6,RV,0.6460619933220973,4,-0.5131018912274843,0.5209580838323353,0,static,power,500,0.1
6,Oracle,,4,1.7501506574480348,0.23952095808383234,0,static,power,500,0.1
6,DM,,4,-0.02779558089704388,0.5608782435129741,0,static,power,500,0.1
6,cDM,,4,0.09774376065868459,0.3213572854291417,0,static,power,500,0.1
6,SS,0.7345170547155248,4,-0.21674555549013969,0.5449101796407185,0,static,power,500,0.1
6,RV,1.2557384836286796,5,3.4099005886266456,0.17964071856287425,0,static,power,500,0.1
6,Oracle,,5,13.587344994454597,0.001996007984031936,1,static,power,500,0.1
6,DM,,5,-0.10657008378880535,0.6127744510978044,0,static,power,500,0.1
6,cDM,,5,0.23304687765442594,0.059880239520958084,1,static,power,500,0.1
6,SS,1.1376288887576693,5,-0.37186049349187744,0.30538922155688625,0,static,power,500,0.1
7,RV,0.6733989635898583,1,0.762372393907824,0.38323353293413176,0,static,power,500,0.1
7,Oracle,,1,1.6408411897928765,0.03792415169660679,1,static,power,500,0.1
7,DM,,1,0.2552451933313213,0.2894211576846307,0,static,power,500,0.1
7,cDM,,1,-0.010340852512586363,0.5129740518962076,0,static,power,500,0.1
7,SS,1.0285657506018628,1,-0.11969307393938837,0.437125748502994,0,static,power,500,0.1
7,RV,0.5435930655389779,2,1.664492266671472,0.5329341317365269,0,static,power,500,0.1
7,Oracle,,2,1.3434611511588526,0.029940119760479042,1,static,power,500,0.1
7,DM,,2,0.3604262565887493,0.21357285429141717,0,static,power,500,0.1
7,cDM,,2,-0.24776192020164392,0.9221556886227545,0,static,power,500,0.1
7,SS,1.1348360554198358,2,-0.00800062730697373,0.46706586826347307,0,static,power,500,0.1
7,RV,1.0008596038851816,3,1.665145467732433,0.8582834331337326,0,static,power,500,0.1
7,Oracle,,3,-0.05810185336481324,0.09181636726546906,1,static,power,500,0.1
7,DM,,3,-0.20615489156185426,0.6307385229540918,0,static,power,500,0.1
7,cDM,,3,0.0003853894059638134,0.4810379241516966,0,static,power,500,0.1
7,SS,0.8097616130707777,3,0.4121521091717648,0.5349301397205589,0,static,power,500,0.1
7,RV,1.1056469467419774,4,3.9810550166112875,0.530938123752495,0,static,power,500,0.1
7,Oracle,,4,2.676914579923163,0.001996007984031936,1,static,power,500,0.1
7,DM,,4,-0.3495395172244223,0.7405189620758483,0,static,power,500,0.1
7,cDM,,4,-0.22319822738093223,0.9041916167664671,0,static,power,500,0.1
