rep,method,rmse,l,n_terms,pvalue,reject,assumption,setting,n_perms,alpha
7,cDM,,2,3,0.12174209036833063,0,lagged,power,500,0.1
7,SS,0.5839942273953049,2,3,0.04471505635040451,1,lagged,power,500,0.1
7,RC,0.4410413768717367,3,2,0.01082449448989863,1,lagged,power,500,0.1
7,Oracle,,3,2,0.0018285844963986924,1,lagged,power,500,0.1
7,DM,,3,2,0.1423909382657632,0,lagged,power,500,0.1
7,cDM,,3,2,0.7674480772155807,0,lagged,power,500,0.1
7,SS,0.7487981024475956,3,2,0.07384655259620729,1,lagged,power,500,0.1
7,RC,0.2963072483906176,4,1,0.2415169660678643,0,lagged,power,500,0.1
7,Oracle,,4,1,0.874251497005988,0,lagged,power,500,0.1
7,DM,,4,1,0.09181636726546905,1,lagged,power,500,0.1
7,cDM,,4,1,0.21357285429141717,0,lagged,power,500,0.1
7,SS,1.374550442882791,4,1,0.908183632734531,0,lagged,power,500,0.1
8,RC,0.7233372443419805,0,5,0.13828856582413107,0,lagged,power,500,0.1
8,Oracle,,0,5,4.7196438405514526e-09,1,lagged,power,500,0.1
8,DM,,0,5,0.8268132694730901,0,lagged,power,500,0.1
8,cDM,,0,5,0.435765183262527,0,lagged,power,500,0.1
8,SS,0.5092695367445493,0,5,0.3221750936087765,0,lagged,power,500,0.1
8,RC,0.7302877065451273,1,4,0.27497846268419684,0,lagged,power,500,0.1
8,Oracle,,1,4,8.527410181943447e-07,1,lagged,power,500,0.1
8,DM,,1,4,0.8345679992798835,0,lagged,power,500,0.1
8,cDM,,1,4,0.41451509813958753,0,lagged,power,500,0.1
8,SS,0.5420639601300379,1,4,0.4247229645266417,0,lagged,power,500,0.1
8,RC,0.7217119605036949,2,3,0.3738085425946758,0,lagged,power,500,0.1
8,Oracle,,2,3,1.5392077083474292e-06,1,lagged,power,500,0.1
8,DM,,2,3,0.9290474129807138,0,lagged,power,500,0.1
8,cDM,,2,3,0.877387512399001,0,lagged,power,500,0.1
8,SS,0.6100668428774573,2,3,0.025107859695445434,1,lagged,power,500,0.1
8,RC,1.0407547391114247,3,2,0.22610620386053137,0,lagged,power,500,0.1
8,Oracle,,3,2,0.000869169784396765,1,lagged,power,500,0.1
8,DM,,3,2,0.8068541090105501,0,lagged,power,500,0.1
8,cDM,,3,2,0.5852450675979224,0,lagged,power,500,0.1
8,SS,0.9257440533426096,3,2,0.16829259241741226,0,lagged,power,500,0.1
8,RC,0.7309878064432379,4,1,0.5449101796407185,0,lagged,power,500,0.1
8,Oracle,,4,1,0.11776447105788426,0,lagged,power,500,0.1
8,DM,,4,1,0.562874251497006,0,lagged,power,500,0.1
8,cDM,,4,1,0.31137724550898205,0,lagged,power,500,0.1
8,SS,1.1149276386856737,4,1,0.7704590818363274,0,lagged,power,500,0.1
9,RC,1.0247646790773792,0,5,0.02213563207844695,1,lagged,power,500,0.1
9,Oracle,,0,5,2.579533227134806e-09,1,lagged,power,500,0.1
9,DM,,0,5,0.35362988004190804,0,lagged,power,500,0.1
9,cDM,,0,5,0.027165727358976415,1,lagged,power,500,0.1
9,SS,0.3767132120839694,0,5,9.947556193072116e-06,1,lagged,power,500,0.1
9,RC,0.9261571731992106,1,4,0.3976479284555227,0,lagged,power,500,0.1
9,Oracle,,1,4,2.226557520499073e-07,1,lagged,power,500,0.1
9,DM,,1,4,0.39071363374340257,0,lagged,power,500,0.1
9,cDM,,1,4,0.21375843173666106,0,lagged,power,500,0.1
9,SS,0.6239697202128268,1,4,0.00989207263129658,1,lagged,power,500,0.1
9,RC,1.0042589990002064,2,3,0.3888730186296357,0,lagged,power,500,0.1
9,Oracle,,2,3,4.117015405593016e-06,1,lagged,power,500,0.1
9,DM,,2,3,0.7015341017450647,0,lagged,power,500,0.1
9,cDM,,2,3,0.36587819420203616,0,lagged,power,500,0.1
9,SS,0.6575390241971181,2,3,0.06445701362954177,1,lagged,power,500,0.1
9,RC,0.8091282900992602,3,2,0.8854693380991746,0,lagged,power,500,0.1
9,Oracle,,3,2,0.0004836175402611345,1,lagged,power,500,0.1
9,DM,,3,2,0.8441855123699142,0,lagged,power,500,0.1
9,cDM,,3,2,0.3630338847580164,0,lagged,power,500,0.1
9,SS,0.9460980803782639,3,2,0.41075551904940455,0,lagged,power,500,0.1
9,RC,1.2993970232033065,4,1,0.7624750499001995,0,lagged,power,500,0.1
9,Oracle,,4,1,0.009980039920159682,1,lagged,power,500,0.1
9,DM,,4,1,0.7944111776447107,0,lagged,power,500,0.1
9,cDM,,4,1,0.4151696606786426,0,lagged,power,500,0.1
9,SS,1.7337734025214113,4,1,0.125748502994012,0,lagged,power,500,0.1
10,RC,0.5275382745735717,0,5,0.00019835252835566402,1,lagged,power,500,0.1
10,Oracle,,0,5,9.857279109158537e-07,1,lagged,power,500,0.1
10,DM,,0,5,0.29773431507126275,0,lagged,power,500,0.1
10,cDM,,0,5,0.4130425134798574,0,lagged,power,500,0.1
10,SS,0.6914302679724935,0,5,0.5560168410537484,0,lagged,power,500,0.1
10,RC,0.42689545216293795,1,4,0.0207703321229345,1,lagged,power,500,0.1
10,Oracle,,1,4,5.703214137097415e-05,1,lagged,power,500,0.1
10,DM,,1,4,0.3009169347301517,0,lagged,power,500,0.1
10,cDM,,1,4,0.32060227866732843,0,lagged,power,500,0.1
10,SS,0.7754885710280549,1,4,0.4371828711112835,0,lagged,power,500,0.1
10,RC,0.5248865149084541,2,3,0.43730642872740166,0,lagged,power,500,0.1
10,Oracle,,2,3,0.0008952216274640297,1,lagged,power,500,0.1
10,DM,,2,3,0.541086266570401,0,lagged,power,500,0.1
10,cDM,,2,3,0.8286322834192564,0,lagged,power,500,0.1
10,SS,0.7416397331767358,2,3,0.41795227485576675,0,lagged,power,500,0.1
10,RC,0.5999995831316076,3,2,0.7585176913513185,0,lagged,power,500,0.1
10,Oracle,,3,2,0.0020989565326047957,1,lagged,power,500,0.1
10,DM,,3,2,0.604704521827155,0,lagged,power,500,0.1
10,cDM,,3,2,0.8182517004395966,0,lagged,power,500,0.1
10,SS,0.8498958242903454,3,2,0.1705971060144002,0,lagged,power,500,0.1
10,RC,0.5336000377768344,4,1,0.6007984031936129,0,lagged,power,500,0.1
10,Oracle,,4,1,0.18163672654690619,0,lagged,power,500,0.1
10,DM,,4,1,0.5129740518962076,0,lagged,power,500,0.1
10,cDM,,4,1,0.17564870259481033,0,lagged,power,500,0.1
10,SS,1.4433999289653348,4,1,0.23952095808383234,0,lagged,power,500,0.1
11,RC,0.9488832904327229,0,5,0.33849554851175157,0,lagged,power,500,0.1
11,Oracle,,0,5,5.108924132848697e-08,1,lagged,power,500,0.1
11,DM,,0,5,0.5253711148069201,0,lagged,power,500,0.1
11,cDM,,0,5,0.23711277089829105,0,lagged,power,500,0.1
11,SS,0.5261642126891015,0,5,0.001292449759438673,1,lagged,power,500,0.1
11,RC,0.8938988822570055,1,4,0.03823256477941234,1,lagged,power,500,0.1
11,Oracle,,1,4,1.3598471405355425e-06,1,lagged,power,500,0.1
11,DM,,1,4,0.5445148643957621,0,lagged,power,500,0.1
11,cDM,,1,4,0.12068668931265687,0,lagged,power,500,0.1
11,SS,0.5695772799526028,1,4,0.02713904839359597,1,lagged,power,500,0.1
11,RC,0.9837256060772205,2,3,0.06417156428176485,1,lagged,power,500,0.1
11,Oracle,,2,3,0.0004034175169789394,1,lagged,power,500,0.1
11,DM,,2,3,0.5818174067913879,0,lagged,power,500,0.1
11,cDM,,2,3,0.08992961662997248,1,lagged,power,500,0.1
11,SS,0.6135832296688986,2,3,0.05142824541427985,1,lagged,power,500,0.1
11,RC,0.6141261571389169,3,2,0.03191302504506328,1,lagged,power,500,0.1
11,Oracle,,3,2,0.018014095145166883,1,lagged,power,500,0.1
11,DM,,3,2,0.7116633937219461,0,lagged,power,500,0.1
11,cDM,,3,2,0.09739735915187843,1,lagged,power,500,0.1
11,SS,0.8450044185359165,3,2,0.17722186464377712,0,lagged,power,500,0.1
11,RC,0.669961465498804,4,1,0.01796407185628742,1,lagged,power,500,0.1
11,Oracle,,4,1,0.3313373253493014,0,lagged,power,500,0.1
11,DM,,4,1,0.7664670658682635,0,lagged,power,500,0.1
11,cDM,,4,1,0.07784431137724553,1,lagged,power,500,0.1
11,SS,1.2317754487468495,4,1,0.07984031936127745,1,lagged,power,500,0.1
12,RC,0.7545968580617686,0,5,0.22066268508562287,0,lagged,power,500,0.1
12,Oracle,,0,5,1.0456557099489578e-08,1,lagged,power,500,0.1
12,DM,,0,5,0.9711009692835877,0,lagged,power,500,0.1
12,cDM,,0,5,0.15359044322938406,0,lagged,power,500,0.1
12,SS,0.4625344271630313,0,5,0.00012200739927560878,1,lagged,power,500,0.1
12,RC,0.7782632242758558,1,4,0.07511523434964515,1,lagged,power,500,0.1
12,Oracle,,1,4,1.5603663519317593e-07,1,lagged,power,500,0.1
12,DM,,1,4,0.998984720290821,0,lagged,power,500,0.1
12,cDM,,1,4,0.08379392523450768,1,lagged,power,500,0.1
12,SS,0.4782708427794413,1,4,0.008036959702488524,1,lagged,power,500,0.1
12,RC,1.0107456379839157,2,3,0.06523131264104452,1,lagged,power,500,0.1
12,Oracle,,2,3,7.446605744616363e-05,1,lagged,power,500,0.1
12,DM,,2,3,0.9995765412026212,0,lagged,power,500,0.1
12,cDM,,2,3,0.18913921854223245,0,lagged,power,500,0.1
12,SS,0.46865735678521325,2,3,0.0698872639389858,1,lagged,power,500,0.1
12,RC,0.9023910140083733,3,2,0.32786706581439223,0,lagged,power,500,0.1
12,Oracle,,3,2,0.00027828062994828716,1,lagged,power,500,0.1
12,DM,,3,2,0.9997108304935858,0,lagged,power,500,0.1
12,cDM,,3,2,0.6897964210570802,0,lagged,power,500,0.1
12,SS,0.8326575709439998,3,2,0.04187109976184827,1,lagged,power,500,0.1
12,RC,0.6542916672707783,4,1,0.42315369261477065,0,lagged,power,500,0.1
12,Oracle,,4,1,0.013972055888223553,1,lagged,power,500,0.1
12,DM,,4,1,0.9940119760479041,0,lagged,power,500,0.1
12,cDM,,4,1,0.5369261477045909,0,lagged,power,500,0.1
12,SS,1.3057975938385595,4,1,0.6766467065868262,0,lagged,power,500,0.1
13,RC,0.7086561168122352,0,5,3.681134281184981e-06,1,lagged,power,500,0.1
13,Oracle,,0,5,1.7384338677539223e-08,1,lagged,power,500,0.1
13,DM,,0,5,0.6742049915108294,0,lagged,power,500,0.1
13,cDM,,0,5,0.3807419524290483,0,lagged,power,500,0.1
13,SS,0.5428055613447924,0,5,2.15431783586774e-06,1,lagged,power,500,0.1
13,RC,0.5482094534380251,1,4,1.601280459564578e-06,1,lagged,power,500,0.1
13,Oracle,,1,4,2.226557520499073e-07,1,lagged,power,500,0.1
13,DM,,1,4,0.9546510522480531,0,lagged,power,500,0.1
13,cDM,,1,4,0.42345242589022924,0,lagged,power,500,0.1
13,SS,0.5441017279669583,1,4,0.0012780392263034661,1,lagged,power,500,0.1
13,RC,0.5749376981069317,2,3,0.0019552518284621507,1,lagged,power,500,0.1
13,Oracle,,2,3,5.3209115457783335e-06,1,lagged,power,500,0.1
13,DM,,2,3,0.7631165361221599,0,lagged,power,500,0.1
13,cDM,,2,3,0.1860111520053614,0,lagged,power,500,0.1
13,SS,0.6779420773147192,2,3,0.012015906009401814,1,lagged,power,500,0.1
13,RC,0.4888446425265117,3,2,0.02577739605201049,1,lagged,power,500,0.1
13,Oracle,,3,2,0.015045709544831093,1,lagged,power,500,0.1
13,DM,,3,2,0.7794588958868112,0,lagged,power,500,0.1
13,cDM,,3,2,0.032856957726454826,1,lagged,power,500,0.1
13,SS,0.9419584392017042,3,2,0.19556498836970362,0,lagged,power,500,0.1
13,RC,0.2556771342498828,4,1,0.04590818363273453,1,lagged,power,500,0.1
13,Oracle,,4,1,0.1277445109780439,0,lagged,power,500,0.1
13,DM,,4,1,0.37125748502994,0,lagged,power,500,0.1
