rep,method,rmse,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
14,Oracle,,17.335912766234085,0.001996007984031936,1,lagged,power,500,0.1
14,DM,,0.16902672430521593,0.22554890219560877,0,lagged,power,500,0.1
14,cDM,,0.032074471460070655,0.2874251497005988,0,lagged,power,500,0.1
14,SS,1.1903191124190586,-4.165637591433686,0.9241516966067864,0,lagged,power,500,0.1
15,RC,0.7184436219655747,-1.3918209925238723,0.16367265469061876,0,lagged,power,500,0.1
15,Oracle,,10.779794608461659,0.001996007984031936,1,lagged,power,500,0.1
15,DM,,0.41785247459761493,0.029940119760479042,1,lagged,power,500,0.1
15,cDM,,0.03953182559586118,0.26147704590818366,0,lagged,power,500,0.1
15,SS,0.9129585760359087,-2.31352318999936,0.7465069860279441,0,lagged,power,500,0.1
16,RC,0.6739863088769472,-1.5272914708940075,0.4151696606786427,0,lagged,power,500,0.1
16,Oracle,,19.595597400704357,0.001996007984031936,1,lagged,power,500,0.1
16,DM,,0.1281720046642649,0.29141716566866266,0,lagged,power,500,0.1
16,cDM,,0.028958286502976,0.3093812375249501,0,lagged,power,500,0.1
16,SS,0.8276312007731609,1.8629998100381289,0.031936127744510975,1,lagged,power,500,0.1
17,RC,0.7358213679068574,-0.9426421848880728,0.18562874251497005,0,lagged,power,500,0.1
17,Oracle,,20.601880788698292,0.001996007984031936,1,lagged,power,500,0.1
17,DM,,0.4507550945437695,0.01996007984031936,1,lagged,power,500,0.1
17,cDM,,0.08594381965825358,0.05189620758483034,1,lagged,power,500,0.1
17,SS,0.793577108963085,9.076749865291726,0.005988023952095809,1,lagged,power,500,0.1
18,RC,0.7065898770868307,8.231961866838386,0.031936127744510975,1,lagged,power,500,0.1
18,Oracle,,22.289017597194324,0.001996007984031936,1,lagged,power,500,0.1
18,DM,,0.3561746299685355,0.04790419161676647,1,lagged,power,500,0.1
18,cDM,,0.1016974113241453,0.023952095808383235,1,lagged,power,500,0.1
18,SS,0.889148905797439,-0.09009857645830373,0.04790419161676647,1,lagged,power,500,0.1
19,RC,0.7073840854419032,-0.6560615796608358,0.2874251497005988,0,lagged,power,500,0.1
19,Oracle,,18.253075972885217,0.001996007984031936,1,lagged,power,500,0.1
19,DM,,-0.028072631150634977,0.5948103792415169,0,lagged,power,500,0.1
19,cDM,,-0.10929618567207959,0.9800399201596807,0,lagged,power,500,0.1
19,SS,1.1143305815729685,-2.5026576102605285,0.7944111776447106,0,lagged,power,500,0.1
20,RC,0.890393794692237,3.332722906869008,0.007984031936127744,1,lagged,power,500,0.1
20,Oracle,,14.191696961364688,0.001996007984031936,1,lagged,power,500,0.1
20,DM,,0.16198455879678128,0.23353293413173654,0,lagged,power,500,0.1
20,cDM,,0.09101142682217131,0.07385229540918163,1,lagged,power,500,0.1
20,SS,0.9979664737945925,8.363032211407248,0.08183632734530938,1,lagged,power,500,0.1
21,RC,0.45790478660058215,7.847995151008331,0.001996007984031936,1,lagged,power,500,0.1
21,Oracle,,14.167897068659022,0.001996007984031936,1,lagged,power,500,0.1
21,DM,,-0.10488244431074949,0.6606786427145709,0,lagged,power,500,0.1
21,cDM,,-0.025669958435865003,0.6866267465069861,0,lagged,power,500,0.1
21,SS,1.059361202135866,-4.017551770684129,0.9201596806387226,0,lagged,power,500,0.1
22,RC,0.6213967070006413,15.72684059690177,0.001996007984031936,1,lagged,power,500,0.1
22,Oracle,,15.70143581567298,0.001996007984031936,1,lagged,power,500,0.1
22,DM,,0.2524938755653026,0.10778443113772455,0,lagged,power,500,0.1
