rep,method,rmse,t,l,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
1,SS,0.45994709462752636,2,0,17.741731671524,0.001996007984031936,1,lagged,power,500,0.1
1,RC,0.9395714704037914,3,0,-1.5576069671705564,0.34331337325349304,0,lagged,power,500,0.1
1,Oracle,,3,0,43.95789374726484,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,3,0,0.3795140427693265,0.10778443113772455,0,lagged,power,500,0.1
1,cDM,,3,0,0.11196384034529921,0.11776447105788423,0,lagged,power,500,0.1
1,SS,0.4462474363702364,3,0,16.49315146759198,0.005988023952095809,1,lagged,power,500,0.1
1,RC,0.9326160542401292,4,0,-2.5418834365964282,0.25149700598802394,0,lagged,power,500,0.1
1,Oracle,,4,0,11.212002858668248,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,4,0,0.02185071636644703,0.48502994011976047,0,lagged,power,500,0.1
1,cDM,,4,0,0.08953085570955722,0.20359281437125748,0,lagged,power,500,0.1
1,SS,0.4657832170550573,4,0,15.156730427931238,0.001996007984031936,1,lagged,power,500,0.1
1,RC,1.0744867397599223,5,0,39.47949388815903,0.00998003992015968,1,lagged,power,500,0.1
1,Oracle,,5,0,87.26500016510667,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,5,0,1.3085826171176183,0.00998003992015968,1,lagged,power,500,0.1
1,cDM,,5,0,0.14421657441471197,0.16167664670658682,0,lagged,power,500,0.1
1,SS,0.5370714805148169,5,0,19.394385908209806,0.01996007984031936,1,lagged,power,500,0.1
1,RC,0.8385199784440542,1,1,10.986738739463624,0.011976047904191617,1,lagged,power,500,0.1
1,Oracle,,1,1,14.05065292611,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,1,1,-0.017536385566507107,0.5249500998003992,0,lagged,power,500,0.1
1,cDM,,1,1,0.07749597484369636,0.27944111776447106,0,lagged,power,500,0.1
1,SS,0.49613829630012457,1,1,-2.801723781573948,0.1536926147704591,0,lagged,power,500,0.1
1,RC,0.8166186996704348,2,1,9.941089469179715,0.021956087824351298,1,lagged,power,500,0.1
1,Oracle,,2,1,33.72407431010615,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,2,1,-0.14263499680065733,0.6746506986027944,0,lagged,power,500,0.1
1,cDM,,2,1,0.027186658228154137,0.38922155688622756,0,lagged,power,500,0.1
1,SS,0.5054163350681471,2,1,16.646272652629705,0.001996007984031936,1,lagged,power,500,0.1
1,RC,0.9855933867589265,3,1,-9.943253583182148,0.4291417165668663,0,lagged,power,500,0.1
1,Oracle,,3,1,32.965049033816264,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,3,1,0.5400165486321433,0.0499001996007984,1,lagged,power,500,0.1
1,cDM,,3,1,0.3034749517289963,0.007984031936127744,1,lagged,power,500,0.1
1,SS,0.5383108590795649,3,1,8.313955633159784,0.007984031936127744,1,lagged,power,500,0.1
1,RC,0.6672670783893664,4,1,9.807866358929967,0.5189620758483033,0,lagged,power,500,0.1
1,Oracle,,4,1,16.620550868511557,0.02594810379241517,1,lagged,power,500,0.1
1,DM,,4,1,0.6883668920514864,0.08383233532934131,1,lagged,power,500,0.1
1,cDM,,4,1,0.06472974858974097,0.36127744510978044,0,lagged,power,500,0.1
1,SS,0.41855472370239927,4,1,9.92941557644653,0.0658682634730539,1,lagged,power,500,0.1
1,RC,1.0694489084233683,1,2,4.881996282932133,0.003992015968063872,1,lagged,power,500,0.1
1,Oracle,,1,2,10.203744626869362,0.003992015968063872,1,lagged,power,500,0.1
1,DM,,1,2,0.09498049621336807,0.38323353293413176,0,lagged,power,500,0.1
1,cDM,,1,2,0.038828458428977745,0.37524950099800397,0,lagged,power,500,0.1
1,SS,0.5219772066080095,1,2,1.271666073948818,0.031936127744510975,1,lagged,power,500,0.1
