rep,estimated_threshold,true_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf
56,2.44451858888271,3.697167441221257,-1.252648852338547,0.0,0.4781420765027322,1.0,100,40
57,2.621132491392836,3.697167441221257,-1.0760349498284212,0.0,0.501432664756447,1.0,100,10
58,2.9871959425317,3.697167441221257,-0.7099714986895571,0.0,0.603448275862069,1.0,100,10
59,3.22949919650533,3.697167441221257,-0.4676682447159273,0.0,0.68359375,1.0,40,40
60,3.237311310354114,3.697167441221257,-0.45985613086714316,0.0,0.68359375,1.0,80,20
61,3.5324568877596545,3.697167441221257,-0.16471055346160268,0.0,0.8454106280193237,1.0,40,40
62,2.9344949640828,3.697167441221257,-0.762672477138457,0.0,0.5892255892255892,1.0,80,20
63,3.66561082717458,3.697167441221257,-0.0315566140466772,0.0,0.9615384615384616,1.0,100,40
64,2.95392020573955,3.697167441221257,-0.7432472354817072,0.0,0.5952380952380952,1.0,100,40
65,3.6038013497869525,3.697167441221257,-0.09336609143430463,0.0,0.9210526315789473,1.0,100,40
66,2.71283871783401,3.697167441221257,-0.9843287233872471,0.0,0.5208333333333334,1.0,60,40
67,3.597069565297438,3.697167441221257,-0.10009787592381914,0.0,0.9114583333333334,1.0,40,40
68,2.667816941052521,3.697167441221257,-1.0293505001687362,0.0,0.5087209302325582,1.0,100,10
69,3.387078133269449,3.697167441221257,-0.3100893079518081,0.0,0.7641921397379913,1.0,40,10
70,2.35261258659369,3.697167441221257,-1.344554854627567,0.0,0.4581151832460733,1.0,100,40
71,2.7324826172428,3.697167441221257,-0.9646848239784571,0.0,0.5319148936170213,1.0,100,40
72,2.421464773521155,3.697167441221257,-1.2757026677001022,0.0,0.47043010752688175,1.0,100,10
73,2.4674127723239554,3.697167441221257,-1.2297546688973018,0.0,0.4820936639118457,1.0,80,40
74,3.1409677302316914,3.697167441221257,-0.5561997109895658,0.0,0.6529850746268657,1.0,40,20
75,3.3387593301300806,3.697167441221257,-0.35840811109117654,0.0,0.7415254237288136,1.0,100,10
76,2.47451955690151,3.697167441221257,-1.222647884319747,0.0,0.4861111111111111,1.0,60,10
77,3.67188587773737,3.697167441221257,-0.025281563483887215,0.0,0.9722222222222222,1.0,60,40
78,2.44806975973603,3.697167441221257,-1.2490976814852273,0.0,0.4794520547945205,1.0,100,10
79,2.39844057863757,3.697167441221257,-1.298726862583687,0.0,0.4679144385026738,1.0,80,40
80,3.081965001353874,3.697167441221257,-0.615202439867383,0.0,0.631768953068592,1.0,80,40
81,2.4071995009815383,3.697167441221257,-1.2899679402397188,0.0,0.4679144385026738,1.0,40,40
82,3.58396328416438,3.697167441221257,-0.11320415705687736,0.0,0.8974358974358975,1.0,80,40
83,2.51503163475992,3.697167441221257,-1.182135806461337,0.0,0.49019607843137253,1.0,80,40
84,2.6264202888734056,3.697167441221257,-1.0707471523478516,0.0,0.5028735632183908,1.0,100,40
85,2.5345818446913118,3.697167441221257,-1.1625855965299454,0.0,0.4943502824858757,1.0,40,10
86,2.42771882375081,3.697167441221257,-1.2694486174704473,0.0,0.4742547425474255,1.0,40,10
87,2.723668776864771,3.697167441221257,-0.973498664356486,0.0,0.5271084337349398,1.0,40,20
88,2.52532856428692,3.697167441221257,-1.1718388769343373,0.0,0.49295774647887325,1.0,60,40
89,2.709696645424989,3.697167441221257,-0.9874707957962681,0.0,0.5177514792899408,1.0,100,10
90,2.3982767634200486,3.697167441221257,-1.2988906778012086,0.0,0.4666666666666667,1.0,100,20
91,2.5494351883755844,3.697167441221257,-1.1477322528456728,0.0,0.4971590909090909,1.0,100,20
92,2.350597905868185,3.697167441221257,-1.3465695353530722,0.0,0.4557291666666667,1.0,100,40
93,2.44806975973603,3.697167441221257,-1.2490976814852273,0.0,0.4794520547945205,1.0,40,40
94,2.4477618796599856,3.697167441221257,-1.2494055615612716,0.0,0.4781420765027322,1.0,40,20
95,2.623407773054125,3.697167441221257,-1.0737596681671322,0.0,0.5028735632183908,1.0,80,10
96,3.48636539403203,3.697167441221257,-0.21080204718922735,0.0,0.813953488372093,1.0,40,40
97,3.140366921934567,3.697167441221257,-0.55680051928669,0.0,0.6529850746268657,1.0,40,40
98,2.40829554741616,3.697167441221257,-1.2888718938050974,0.0,0.4691689008042895,1.0,40,40
99,3.62527383102497,3.697167441221257,-0.07189361019628704,0.0,0.9358288770053476,1.0,80,10
