rep,assumption,subgroup,method,statistic,group_size,true_threshold,estimated_threshold,threshold_error,null_leakage,effective_purity,effective_coverage,selected_mu_min_samples_leaf,selected_b_min_samples_leaf,mean_true_tau,mean_tau_hat,pvalue,reject,stat
48,static,null_subgroup,RV,aipw,329,3.697167441221257,3.71051862921742,0.01335118799616275,0.0121580547112462,1.0,0.9771428571428571,80,40,-0.00182370820668693,0.0,0.2823920265780731,0,0.002361468822964929
49,static,effective_subgroup,RV,aipw,185,3.697167441221257,3.64092269256804,-0.05624474865321716,0.0,0.9459459459459459,1.0,100,40,-0.14189189189189186,-0.0515945876985473,0.0033222591362126247,1,-0.14481726126034253
49,static,null_subgroup,RV,aipw,315,3.697167441221257,3.64092269256804,-0.05624474865321716,0.0,0.9459459459459459,1.0,100,40,0.0,0.0,0.42857142857142855,0,0.0005920617693346205
50,static,effective_subgroup,RV,aipw,174,3.697167441221257,3.69937419120658,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,100,10,-0.15,-0.06795787900128146,0.0033222591362126247,1,-0.149704504610832
50,static,null_subgroup,RV,aipw,326,3.697167441221257,3.69937419120658,0.0022067499853228867,0.003067484662576687,1.0,0.9942857142857143,100,10,-0.00046012269938650307,0.0,0.9601328903654485,0,-0.007296306158576918
51,static,effective_subgroup,RV,aipw,176,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,100,10,-0.14914772727272724,-0.05841451202550541,0.0033222591362126247,1,-0.16462326211691064
51,static,null_subgroup,RV,aipw,324,3.697167441221257,3.6947372635981,-0.002430177623157004,0.0,0.9943181818181818,1.0,100,10,0.0,0.0,0.3222591362126246,0,0.001747636692398932
52,static,effective_subgroup,RV,aipw,179,3.697167441221257,3.6869374925434566,-0.010229948677800582,0.0,0.9776536312849162,1.0,100,10,-0.14664804469273743,-0.06753983734070962,0.0033222591362126247,1,-0.16217446942511454
52,static,null_subgroup,RV,aipw,321,3.697167441221257,3.6869374925434566,-0.010229948677800582,0.0,0.9776536312849162,1.0,100,10,0.0,0.000260773103940509,0.2059800664451827,0,0.002772253990381657
53,static,effective_subgroup,RV,aipw,173,3.697167441221257,3.709961407316878,0.012793966095620668,0.0061162079510703364,1.0,0.9885714285714285,100,10,-0.14999999999999997,-0.0798139141830978,0.0033222591362126247,1,-0.16281043289394573
53,static,null_subgroup,RV,aipw,327,3.697167441221257,3.709961407316878,0.012793966095620668,0.0061162079510703364,1.0,0.9885714285714285,100,10,-0.0009174311926605504,0.0,0.5681063122923588,0,-0.0006993812184053616
54,static,effective_subgroup,RV,aipw,181,3.697167441221257,3.6713284412588845,-0.02583899996237271,0.0,0.9668508287292817,1.0,40,10,-0.14502762430939226,-0.055845293064654064,0.0033222591362126247,1,-0.15488127230857882
54,static,null_subgroup,RV,aipw,319,3.697167441221257,3.6713284412588845,-0.02583899996237271,0.0,0.9668508287292817,1.0,40,10,0.0,0.0010062425981687067,0.7906976744186046,0,-0.003492908166514974
55,static,effective_subgroup,RV,aipw,175,3.697167441221257,3.69597919122916,-0.0011882499920972123,0.0,1.0,1.0,40,10,-0.15,-0.08402738907407177,0.0033222591362126247,1,-0.1710410331139495
55,static,null_subgroup,RV,aipw,325,3.697167441221257,3.69597919122916,-0.0011882499920972123,0.0,1.0,1.0,40,10,0.0,0.0005632440625099181,0.7375415282392026,0,-0.002193169435758772
