rep,N,M,assumption,option,experiment,method,dgp_name,tau_rmse,tau_nmse,tau_mse,tau_variance
7,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.5689623634186327,0.06144659922447694,0.32371817098691624,5.268284576731543
7,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.9008690906774162,0.6858595520545114,3.613303299892787,5.268284576731543
7,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.5486377920583835,0.057134997643092635,0.301003426874698,5.268284576731543
7,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.0714449214317434,0.21790664550131295,1.1479942196618749,5.268284576731543
7,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.31529552007776335,0.018869759887341218,0.09941126498110728,5.268284576731543
7,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.863820160449991,0.1416372367004486,0.7461852695998482,5.268284576731543
7,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.3603453895157707,0.024647263801727097,0.12984879974527253,5.268284576731543
7,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.4198862685764103,0.0334652534370877,0.1763044785390214,5.268284576731543
7,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.3603453895157707,0.024647263801727097,0.12984879974527253,5.268284576731543
7,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.43533448944974806,0.035973022137321425,0.18951611770447283,5.268284576731543
7,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.20018060922334638,0.007606323410473594,0.040072276309030104,5.268284576731543
7,25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.2906482864753226,0.01603490191174346,0.0844764264310412,5.268284576731543
7,25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.20018060922334638,0.007606323410473594,0.040072276309030104,5.268284576731543
7,25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.2655291344219349,0.013383051010240583,0.07050572122686195,5.268284576731543
7,25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.17608831958530355,0.005885615297116861,0.031007096294375994,5.268284576731543
7,25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.23250775669029056,0.010261377519338605,0.05405985692115135,5.268284576731543
8,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.8056924345637554,0.1233390540552167,0.6491402991132712,5.26305559975077
8,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.891787696533827,0.679996747312766,3.578860688756763,5.26305559975077
8,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.8969142432479631,0.15284945113997295,0.8044551597410664,5.26305559975077
8,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.3763227199503376,0.35991719896350655,1.8942642294514953,5.26305559975077
8,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.3942407718509672,0.029531473351147284,0.15542578618964636,5.26305559975077
8,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.9674068746412955,0.17781990772576242,0.9358760611032392,5.26305559975077
8,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.34614934043993784,0.022766122001956046,0.11981936588700398,5.26305559975077
8,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.8353984194237216,0.13260177589776947,0.6978905191756524,5.26305559975077
8,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.25913141910310844,0.012758575525892346,0.06714909236639084,5.26305559975077
8,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.48379037503125294,0.04447095846450185,0.2340531269728804,5.26305559975077
8,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22392663819421552,0.009527381640303706,0.050143139292963095,5.26305559975077
8,25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.3803404048526517,0.027485710690635542,0.144658823563479,5.26305559975077
8,25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22392663819421552,0.009527381640303706,0.050143139292963095,5.26305559975077
8,25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.3230216225754042,0.019825549374053352,0.10434296865124687,5.26305559975077
8,25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.19286367564087267,0.007067452865873043,0.03719639738170775,5.26305559975077
8,25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.32923076607832724,0.020595050779561423,0.10839289733252222,5.26305559975077
9,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.3780081779091063,0.02714404827162994,0.14289018256616257,5.264144137096405
9,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.9255190748441156,0.7043165253513723,3.7076237075885383,5.264144137096405
9,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.40752947708013926,0.03154934028474726,0.16608027468921174,5.264144137096405
9,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.2159123778049343,0.2808515253373606,1.4784429104992491,5.264144137096405
9,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.23128906675579028,0.010162075924894976,0.053494632400764415,5.264144137096405
9,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.8104423818172324,0.12477182180803192,0.6568168542455887,5.264144137096405
9,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.30256594906154954,0.017390510431960014,0.09154615353151618,5.264144137096405
9,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.59137310017005,0.06643475833806396,0.3497221436047359,5.264144137096405
9,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.32477681674145087,0.020037441594616096,0.10547998069270997,5.264144137096405
9,25600,400,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.41845434321598607,0.0332635339755165,0.17510403735632227,5.264144137096405
9,25600,800,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.23683001110339097,0.010654809727563717,0.05608845415923229,5.264144137096405
9,25600,800,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.3674189051082094,0.025644558415411627,0.1349966518309154,5.264144137096405
9,25600,1600,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.23315068799675007,0.010326321221010742,0.05435924331335789,5.264144137096405
9,25600,1600,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.28579545223082237,0.015516110195431079,0.08167904051582027,5.264144137096405
9,25600,3200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.2055584112882407,0.008026805374415929,0.042254260451345525,5.264144137096405
9,25600,3200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.23518676749188924,0.010507466012090122,0.055312815603283966,5.264144137096405
10,25600,25,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.7628632358194452,0.11053489599736424,0.5819603165649143,5.264946524930837
10,25600,25,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.609884748913709,0.4922612019917908,2.5917289047849557,5.264946524930837
10,25600,50,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.48121936139721594,0.04398374659400484,0.23157207378354433,5.264946524930837
10,25600,50,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,1.2042336162516487,0.2754403289081029,1.450178602510523,5.264946524930837
10,25600,100,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22841919758158752,0.009909944873467014,0.05217532982381631,5.264946524930837
10,25600,100,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.7529949088196642,0.10769365463133225,0.5670013327083344,5.264946524930837
10,25600,200,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22083587325812007,0.009262863865140039,0.048768482917676464,5.264946524930837
10,25600,200,lagged,nonparametric,start,direct_from_scratch,lagged_shared_easy_x_sign_warm_start,0.4801986524418017,0.043797357620826254,0.2305907458069223,5.264946524930837
10,25600,400,lagged,nonparametric,start,warm_start,lagged_shared_easy_x_sign_warm_start,0.22083587325812007,0.009262863865140039,0.048768482917676464,5.264946524930837
